accession,gi,species,kingdom,phylum,class,order,family,genus
NC_028714.1,167815,Eurythoe complanata,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Eurythoe
NC_023124.1,167828,Marphysa sanguinea,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa
NC_030040.1,862681,Namalycastis abiuma,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Namalycastis
NC_026856.1,53617,Escarpia spicata,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Escarpia
NC_026858.1,238240,Lamellibrachia luymesi,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia
NC_026859.1,53619,Oasisia alvinae,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Oasisia
NC_024653.1,27915,Ridgeia piscesae,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Ridgeia
NC_026860.1,6426,Riftia pachyptila,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Riftia
NC_026855.1,167799,Sclerolinum brattstromi,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Sclerolinum
NC_026862.1,53621,Tevnia jerichonana,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Tevnia
NC_028711.1,46598,Magelona mirabilis,Animalia,Annelida,Polychaeta,Spionida,Magelonidae,Magelona
NC_011011.1,279652,Pista cristata,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Pista
NC_013248.1,1934738,Tritia reticulata,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Euphthiracaridae,Acrotritia
NC_015074.1,229100,Calliope calliope,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cicadetta
NC_030536.1,6493,Conus striatus,Animalia,Arthropoda,Insecta,Hymenoptera,Scelionidae,Probaryconus
NC_036679.1,7574,Lingula anatina,Animalia,Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingula
NC_000941.1,7580,Terebratulina retusa,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,Cancellothyrididae,Terebratulina
NC_006688.1,171366,Alytes obstetricans,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes
NC_006690.1,97956,Discoglossus galganoi,Animalia,Chordata,Amphibia,Anura,Alytidae,Discoglossus
NC_030054.1,238106,Anomaloglossus baeobatrachus,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Anomaloglossus
NC_037856.1,238107,Anomaloglossus degranvillei,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Anomaloglossus
NC_023382.1,111096,Trichobatrachus robustus,Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Trichobatrachus
NC_042501.1,8345,Bombina bombina,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_021477.1,414352,Bombina lichuanensis,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_011049.1,161274,Bombina maxima,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_006689.1,8346,Bombina orientalis,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_009258.1,8348,Bombina variegata,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_023379.1,1283716,Breviceps adspersus,Animalia,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps
NC_008410.1,30331,Bufo gargarizans,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo
NC_009886.1,8387,Bufo japonicus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo
NC_020048.1,103437,Bufo tibetanus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo
NC_005794.2,30335,Duttaphrynus melanostictus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Duttaphrynus
NC_037378.1,1903088,Melanophryniscus moreirae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus
NC_027274.1,93483,Telmatobufo australis,Animalia,Chordata,Amphibia,Anura,Calyptocephalellidae,Telmatobufo
NC_027671.1,1582976,Platymantis vitianus,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,Platymantis
NC_020002.1,288794,Telmatobius bolivianus,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Telmatobius
NC_030333.1,1229843,Telmatobius chusmisensis,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Telmatobius
NC_037379.1,238111,Hyloxalus subpunctatus,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
NC_037380.1,111132,Phyllobates terribilis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates
NC_014584.1,143416,Euphlyctis hexadactylus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Euphlyctis
NC_012647.1,111367,Fejervarya cancrivora,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya
NC_029754.1,429310,Fejervarya multistriata,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya
NC_019615.1,110072,Hoplobatrachus rugulosus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus
NC_014581.1,103373,Hoplobatrachus tigerinus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus
NC_007440.2,120496,Limnonectes fujianensis,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Limnonectes
NC_026789.1,125878,Nanorana parkeri,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
NC_016119.1,120498,Nanorana pleskei,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
NC_024272.1,586025,Nanorana taihangnica,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
NC_039094.1,342811,Nanorana ventripunctata,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
NC_014685.1,146711,Occidozyga martensii,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Occidozyga
NC_021937.1,120502,Quasipaa boulengeri,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Quasipaa
NC_013270.1,109965,Quasipaa spinosa,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Quasipaa
NC_024843.1,342822,Quasipaa yei,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Quasipaa
NC_019998.1,143568,Heleophryne regis,Animalia,Chordata,Amphibia,Anura,Heleophrynidae,Heleophryne
NC_023380.1,83971,Hemisus marmoratus,Animalia,Chordata,Amphibia,Anura,Hemisotidae,Hemisus
NC_036493.1,1513809,Bokermannohyla alvarengai,Animalia,Chordata,Amphibia,Anura,Hylidae,Bokermannohyla
NC_025309.1,317325,Hyla annectans,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla
NC_006403.1,167933,Hyla chinensis,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla
NC_034238.1,109176,Hyla suweonensis,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla
NC_026524.1,666683,Hyla tsinlingensis,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla
NC_041426.1,428384,Pseudis tocantins,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis
NC_023381.1,476017,Hyperolius marmoratus,Animalia,Chordata,Amphibia,Anura,Hyperoliidae,Hyperolius
NC_014691.1,118230,Leiopelma archeyi,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Leiopelma
NC_027072.1,51644,Leiopelma hochstetteri,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Leiopelma
NC_019999.1,288789,Lechriodus melanopyga,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,Lechriodus
NC_039758.1,143518,Mantella baroni,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella
NC_007888.1,111290,Mantella madagascariensis,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella
NC_024427.1,265040,Leptobrachium boringii,Animalia,Chordata,Amphibia,Anura,Megophryidae,Leptobrachium
NC_031411.1,445787,Leptobrachium leishanense,Animalia,Chordata,Amphibia,Anura,Megophryidae,Leptobrachium
NC_020610.1,265047,Leptolalax oshanensis,Animalia,Chordata,Amphibia,Anura,Megophryidae,Leptolalax
NC_030627.1,265046,Oreolalax lichuanensis,Animalia,Chordata,Amphibia,Anura,Megophryidae,Oreolalax
NC_030605.1,445774,Oreolalax major,Animalia,Chordata,Amphibia,Anura,Megophryidae,Oreolalax
NC_037382.1,445775,Oreolalax multipunctatus,Animalia,Chordata,Amphibia,Anura,Megophryidae,Oreolalax
NC_031426.1,1240007,Scutiger ningshanensis,Animalia,Chordata,Amphibia,Anura,Megophryidae,Scutiger
NC_020044.1,113380,Kaloula borealis,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula
NC_006405.1,167934,Kaloula pulchra,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula
NC_029409.1,1231732,Kaloula rugifera,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula
NC_039411.1,1231733,Kaloula verrucosa,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula
NC_030049.1,161703,Microhyla butleri,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla
NC_006406.1,143525,Microhyla heymonsi,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla
NC_038130.1,1035782,Microhyla mixtura,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla
NC_010233.1,387933,Microhyla okinavensis,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla
NC_009422.1,143526,Microhyla ornata,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla
NC_024547.1,143527,Microhyla pulchra,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla
NC_008144.1,61616,Pelobates cultripes,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates
NC_015615.1,247094,Hymenochirus boettgeri,Animalia,Chordata,Amphibia,Anura,Pipidae,Hymenochirus
NC_015617.1,191480,Pipa carvalhoi,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa
NC_015618.1,864177,Pseudhymenochirus merlini,Animalia,Chordata,Amphibia,Anura,Pipidae,Pseudhymenochirus
NC_018776.1,8354,Xenopus borealis,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus
NC_001573.1,8355,Xenopus laevis,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus
NC_018775.1,288556,Xenopus victorianus,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus
NC_029250.1,318551,Amolops loloensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Amolops
NC_024180.1,167930,Amolops mantzorum,Animalia,Chordata,Amphibia,Anura,Ranidae,Amolops
NC_018771.1,120495,Babina adenopleura,Animalia,Chordata,Amphibia,Anura,Ranidae,Babina
NC_022870.1,658163,Babina holsti,Animalia,Chordata,Amphibia,Anura,Ranidae,Babina
NC_022871.1,872127,Babina subaspera,Animalia,Chordata,Amphibia,Anura,Ranidae,Babina
NC_034984.1,431935,Odorrana hainanensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Odorrana
NC_015305.1,310659,Odorrana ishikawae,Animalia,Chordata,Amphibia,Anura,Ranidae,Odorrana
NC_024603.1,121156,Odorrana margaretae,Animalia,Chordata,Amphibia,Anura,Ranidae,Odorrana
NC_027827.1,110116,Odorrana schmackeri,Animalia,Chordata,Amphibia,Anura,Ranidae,Odorrana
NC_009423.1,448114,Odorrana tormota,Animalia,Chordata,Amphibia,Anura,Ranidae,Odorrana
NC_034983.1,1394135,Odorrana wuchuanensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Odorrana
NC_029200.1,69489,Pelophylax bedriagae,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax
NC_016059.1,512019,Pelophylax chosenicus,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax
NC_025575.1,143642,Pelophylax cretensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax
NC_026894.1,70701,Pelophylax epeiroticus,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax
NC_026895.1,73493,Pelophylax kurtmuelleri,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax
NC_002805.1,8409,Pelophylax nigromaculatus,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax
NC_009264.1,109178,Pelophylax plancyi,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax
NC_026896.1,44326,Pelophylax shqipericus,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax
NC_030042.1,109177,Rana amurensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_035803.1,120506,Rana chaochiaoensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_028296.1,290503,Rana draytonii,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_023528.1,71582,Rana dybowskii,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_028521.1,113383,Rana huanrensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_035804.1,670907,Rana kukunoris,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_024548.1,359667,Rana kunyuensis,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_035805.1,120507,Rana omeimontis,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_042226.1,8407,Rana temporaria,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana
NC_008975.1,191197,Buergeria buergeri,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Buergeria
NC_027452.1,143444,Rhacophorus dennysi,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Rhacophorus
NC_007178.1,210202,Rhacophorus schlegelii,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Rhacophorus
NC_015620.1,43566,Rhinophrynus dorsalis,Animalia,Chordata,Amphibia,Anura,Rhinophrynidae,Rhinophrynus
NC_037377.1,8435,Scaphiopus holbrookii,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus
NC_020001.1,8425,Sooglossus thomasseti,Animalia,Chordata,Amphibia,Anura,Sooglossidae,Sooglossus
NC_006888.1,282260,Ambystoma andersoni,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_014568.1,238860,Ambystoma barbouri,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_027501.1,511044,Ambystoma bishopi,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_006890.1,43107,Ambystoma californiense,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_006889.1,282261,Ambystoma dumerilii,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_006330.1,8298,Ambystoma laterale,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_005797.1,8296,Ambystoma mexicanum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_039182.1,8306,Ambystoma talpoideum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_014571.1,8304,Ambystoma texanum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_006887.1,43116,Ambystoma tigrinum,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma
NC_004926.1,141262,Andrias davidianus,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias
NC_007446.1,166789,Andrias japonicus,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias
NC_008077.1,156987,Batrachuperus londongensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Batrachuperus
NC_008083.1,156988,Batrachuperus pinchonii,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Batrachuperus
NC_008085.1,156989,Batrachuperus tibetanus,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Batrachuperus
NC_012430.1,156990,Batrachuperus yenyuanensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Batrachuperus
NC_008076.1,244216,Hynobius amjiensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_009335.1,391643,Hynobius arisanensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_008088.1,288313,Hynobius chinensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_008084.1,284022,Hynobius formosanus,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_013762.1,412855,Hynobius guabangshanensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_026032.1,252291,Hynobius kimurae,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_008079.1,113391,Hynobius leechii,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_023789.1,429345,Hynobius maoershanensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_020650.1,294368,Hynobius nebulosus,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_026033.1,324339,Hynobius nigrescens,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_010224.1,113393,Hynobius quelpaertensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_013825.1,586894,Hynobius yangi,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_020649.1,244217,Hynobius yiwuensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius
NC_008078.1,156992,Liua shihi,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Liua
NC_008081.1,245147,Liua tsinpaensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Liua
NC_008089.1,113382,Onychodactylus fischeri,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus
NC_008080.1,288317,Pachyhynobius shangchengensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Pachyhynobius
NC_008091.1,363225,Paradactylodon gorganensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Paradactylodon
NC_008090.1,324332,Paradactylodon mustersi,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Paradactylodon
NC_020635.1,157107,Pseudohynobius flavomaculatus,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Pseudohynobius
NC_021001.1,365029,Pseudohynobius shuichengensis,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Pseudohynobius
NC_004021.1,113097,Ranodon sibiricus,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Ranodon
NC_008082.1,288315,Salamandrella keyserlingii,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella
NC_021106.1,476251,Salamandrella tridactyla,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella
NC_006327.1,154579,Aneides flavipunctatus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides
NC_006338.1,154580,Aneides hardii,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides
NC_006340.1,159185,Batrachoseps attenuatus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps
NC_028184.1,458151,Batrachoseps nigriventris,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps
NC_006333.1,57547,Batrachoseps wrighti,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps
NC_006339.1,52100,Desmognathus fuscus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus
NC_006337.1,52108,Desmognathus wrighti,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus
NC_006328.1,57550,Ensatina eschscholtzii,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Ensatina
NC_006329.1,134758,Eurycea bislineata,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea
NC_035494.1,332575,Eurycea cirrigera,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea
NC_028297.1,505961,Gyrinophilus palleucus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus
NC_006341.1,134760,Gyrinophilus porphyriticus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus
NC_006342.1,291265,Hemidactylium scutatum,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hemidactylium
NC_006345.1,57553,Hydromantes brunus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hydromantes
NC_006326.1,107992,Oedipina poelzi,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Oedipina
NC_006344.1,52110,Phaeognathus hubrichti,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus
NC_006335.1,46761,Plethodon elongatus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon
NC_006332.1,134762,Pseudotriton ruber,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Pseudotriton
NC_006325.1,291263,Stereochilus marginatus,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Stereochilus
NC_023341.1,324346,Necturus beyeri,Animalia,Chordata,Amphibia,Caudata,Proteidae,Necturus
NC_023342.1,221568,Proteus anguinus,Animalia,Chordata,Amphibia,Caudata,Proteidae,Proteus
NC_006331.1,291264,Rhyacotriton variegatus,Animalia,Chordata,Amphibia,Caudata,Rhyacotritonidae,Rhyacotriton
NC_017870.1,385653,Echinotriton andersoni,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Echinotriton
NC_002756.1,297010,Lyciasalamandra atifi,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lyciasalamandra
NC_028278.1,168684,Notophthalmus perstriatus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Notophthalmus
NC_035008.1,189294,Paramesotriton chinensis,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Paramesotriton
NC_037713.1,164970,Paramesotriton deloustali,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Paramesotriton
NC_006407.1,164972,Paramesotriton hongkongensis,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Paramesotriton
NC_015788.1,8326,Triturus carnifex,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus
NC_015790.1,8323,Triturus cristatus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus
NC_015791.1,8327,Triturus dobrogicus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus
NC_015792.1,8325,Triturus karelinii,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus
NC_015794.1,385668,Triturus macedonicus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus
NC_015795.1,8328,Triturus marmoratus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus
NC_015796.1,171367,Triturus pygmaeus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus
NC_029231.1,385676,Tylototriton kweichowensis,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton
NC_027421.1,129885,Tylototriton taliangensis,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton
NC_017871.1,164973,Tylototriton verrucosus,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton
NC_027507.1,385678,Tylototriton wenxianensis,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton
NC_036927.1,307977,Siren lacertina,Animalia,Chordata,Amphibia,Caudata,Sirenidae,Siren
NC_020136.1,260983,Boulengerula boulengeri,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Boulengerula
NC_020154.1,102246,Boulengerula taitana,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Boulengerula
NC_023508.1,1415575,Caecilia gracilis,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia
NC_023507.1,356198,Caecilia tentaculata,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia
NC_020137.1,543901,Caecilia volcani,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Caecilia
NC_023509.1,420416,Chthonerpeton indistinctum,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Chthonerpeton
NC_019596.1,1043697,Crotaphatrema lamottei,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Crotaphatrema
NC_020138.1,118251,Dermophis mexicanus,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Dermophis
NC_006301.1,194526,Gegeneophis ramaswamii,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Gegeneophis
NC_020155.1,260995,Geotrypetes seraphini,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Geotrypetes
NC_023510.1,441557,Grandisonia sechellensis,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Grandisonia
NC_020139.1,449092,Gymnopis multiplicata,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Gymnopis
NC_019586.1,118254,Herpele squalostoma,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Herpele
NC_020140.1,8450,Hypogeophis rostratus,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Hypogeophis
NC_023512.1,1035548,Indotyphlus maharashtraensis,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Indotyphlus
NC_023513.1,320582,Luetkenotyphlus brasiliensis,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Luetkenotyphlus
NC_023515.1,1415580,Microcaecilia unicolor,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Microcaecilia
NC_020142.1,543905,Oscaecilia ochrocephala,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Oscaecilia
NC_023516.1,1415581,Potomotyphlus kaupii,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Potomotyphlus
NC_023517.1,420423,Praslinia cooperi,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Praslinia
NC_023518.1,260982,Schistometopum gregorii,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Schistometopum
NC_006304.1,261001,Scolecomorphus vittatus,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Scolecomorphus
NC_007911.1,320579,Siphonops annulatus,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Siphonops
NC_002471.1,8456,Typhlonectes natans,Animalia,Chordata,Amphibia,Gymnophiona,Caeciliidae,Typhlonectes
NC_006404.1,8453,Ichthyophis bannanicus,Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis
NC_023511.1,406260,Ichthyophis bombayensis,Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis
NC_006302.1,194415,Ichthyophis glutinosus,Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Ichthyophis
NC_023519.1,1415582,Uraeotyphlus gansi,Animalia,Chordata,Amphibia,Gymnophiona,Ichthyophiidae,Uraeotyphlus
NC_006303.1,194408,Rhinatrema bivittatum,Animalia,Chordata,Amphibia,Gymnophiona,Rhinatrematidae,Rhinatrema
NC_011818.1,8957,Accipiter gentilis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter
NC_025580.1,211598,Accipiter nisus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter
NC_026082.1,387810,Accipiter virgatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter
NC_024087.1,8962,Aquila chrysaetos,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila
NC_035806.1,52410,Aquila heliaca,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila
NC_032362.1,335207,Butastur indicus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Butastur
NC_032363.1,1356036,Butastur liventer,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Butastur
NC_003128.3,30397,Buteo buteo,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo
